source,original_text,cleaned_text,translated_text,location_hint,language_hint,timestamp
inquirer,"3 most wanted in Ilocos region arrested SAN FERNANDO CITY, La Union — Three most wanted persons in the Ilocos Region, including a schoolteacher, were apprehended by the police in separate law enforcement operations last Thursday. The police said the schoolteacher from Aringay, La Union town and the second top most wanted in the area, was served five warrants of arrest —","3 most wanted in ilocos region arrested san fernando city, la union — three most wanted persons in the ilocos region, including a schoolteacher, were apprehended by the police in separate law enforcement operations last thursday. the police said the schoolteacher from aringay, la union town and the second top most wanted in the area, was served five warrants of arrest —","3 most winted in locos consigated san fernando city, la union — three most dolded persons in the ilocos region, incluting a schooltetacher, were appened by the police in the second-cement operation operations last hursday. The schoolterodom_1, <CLO_C25_st and the building area of the emergency area, and the right area of the right space.",,taglish,2026-05-30T09:42:59+00:00
inquirer,"Pagasa raises heat index alert in 6 Calabarzon areas LUCENA CITY, Quezon — The Philippine Atmospheric, Geophysical and Astronomical Services Administration (Pagasa) warned residents in six areas of Cavite, Laguna, Batangas, and Quezon provinces of dangerous heat index levels on Saturday, May 30, despite looming rains. Based on Pagasa’s 5 p.m. bulletin on Friday, Sangley Point in Cavite City and Infanta, Quezon are expected","pagasa raises heat index alert in 6 calabarzon areas lucena city, quezon — the philippine atmospheric, geophysical and astronomical services administration (pagasa) warned residents in six areas of cavite, laguna, batangas, and quezon provinces of dangerous heat index levels on saturday, may 30, despite looming rains. based on pagasa’s 5 p.m. bulletin on friday, sangley point in cavite city and infanta, quezon are expected","pagasa raises heat index anlert in 6 calabarzon areas lucena city, quezon — the phi<MIS_10>pine atmospheric, geophysical and astronomical services administration (pagasa) wardi delidents inx area ofLOC_7>, <LOCLO1>, <C5> in <CLOC5>, and <CLOCORCORC254_vince> province> of heaterocercercercer>, <Cet / <Cetéte_et_te_te_refet_et_et_refet, esʹet_te_te_te_refet, magCeting_te_te_et.King, magCORCORCet.conf.conf.conf.CORed., <CORe> in <Cet.LO.LO.LO.LO.LO.LO.LO.LO.LO., <C",,taglish,2026-05-30T09:30:02+00:00
inquirer,"Metro Manila’s heat index may reach 44°C on Saturday MANILA, Philippines — Dangerous levels of heat may be felt in Metro Manila on Saturday, the Philippine Atmospheric, Geophysical and Astronomical Services Administration (Pagasa) forecast on Saturday. Based on the weather bureau’s forecast, Metro Manila may log apparent temperatures of 43°C to 44°C, only two to three away from the highest expected heat index for","metro manila’s heat index may reach 44°c on saturday manila, philippines — dangerous levels of heat may be felt in metro manila on saturday, the philippine atmospheric, geophysical and astronomical services administration (pagasa) forecast on saturday. based on the weather bureau’s forecast, metro manila may log apparent temperatures of 43°c to 44°c, only two to three away from the highest expected heat index for","manila’s heat index with reach 44 °c on Saturday manila, philippines — dangerous levels of heat with light in metro manila on Saturday, the <ORG_5>pine atmospheric, geophysical and astronomical services administration (pagasa for casting on Saturday. base on the weatheraus for casting, <LOCila log of tePurcell on 4 degrees Fahrenheit [4 ° to 44 ° C].E.",Manila,taglish,2026-05-30T08:12:30+00:00
inquirer,"Domeng trough, southwest windflow to bring rains across PH Saturday MANILA, Philippines — The extension of Severe Tropical Storm Domeng (international name: Jangmi) along with the southwesterly windflow will continue to bring rains in many parts of the country on Saturday, the state weather bureau warned. This is despite Domeng, unlikely to make a landfall, and is 980 kilometers east of Northern Luzon, moving west-northwestward","domeng trough, southwest windflow to bring rains across ph saturday manila, philippines — the extension of severe tropical storm domeng (international name: jangmi) along with the southwesterly windflow will continue to bring rains in many parts of the country on saturday, the state weather bureau warned. this is despite domeng, unlikely to make a landfall, and is 980 kilometers east of northern luzon, moving west-northwestward","Domong trogh, southwest windflow to various rains acromes manila, philippines — the extension of severe tropical storm domeg (an international name: <MILC_1>) wave weth the southerly wind contestin to various rain fields in part of the country, the state weather and the war tower, chepend.",Manila,taglish,2026-05-30T07:51:48+00:00
inquirer,"Marcos ‘watched with horror’ what Senate has become TOKYO, Japan—President Ferdinand Marcos Jr. on Friday said he “watched with horror” the events that had rocked the Senate over the past three weeks, including the May 13 shooting incident, which he described as “fake.” He also noted how “the discourse had gone shallow” in the chamber, with the differences in views becoming “personal,” if","marcos ‘watched with horror’ what senate has become tokyo, japan—president ferdinand marcos jr. on friday said he “watched with horror” the events that had rocked the senate over the past three weeks, including the may 13 shooting incident, which he described as “fake.” he also noted how “the discourse had gone shallow” in the chamber, with the differences in views becoming “personal,” if","marcos ‘watching horror’ what senate has become tokyo, <LOC_2ident ferdinand marcos jr. on friday with him “wached horror filet’s events th rocked the ORG_0>ate the overst three sexes, intesting the 13 shootings in the case, wurcriped hee as hee,“ goad.",,taglish,2026-05-30T05:40:00+00:00
inquirer,"Estrada posts bail in graft case; still no arrest order in plunder rap A P90,000 bail posted by Sen. Jinggoy Estrada on Friday kept him out of jail for a graft case in the Sandiganbayan’s Second Division, which ordered his arrest following charges filed by the Office of the Ombudsman. While this court’s Division processed the bailable graft case, no immediate arrest order was issued by the Fifth","estrada posts bail in graft case; still no arrest order in plunder rap a p90,000 bail posted by sen. jinggoy estrada on friday kept him out of jail for a graft case in the sandiganbayan’s second division, which ordered his arrest following charges filed by the office of the ombudsman. while this court’s division processed the bailable graft case, no immediate arrest order was issued by the fifth","estrada post bil in graft case; still no arrest order in plunder rap a pumberil pole by sen. jinggoy estrada on friday keptim out of jil for a gray case in the banding people’s second value, which order delivery filegs out of the office of the ombunddman. His action system of action needs noods, do not match the required extraf.",,taglish,2026-05-30T05:38:00+00:00
inquirer,NBI to summon Bato dela Rosa’s wife over his ‘escape’ The National Bureau of Investigation on Friday said it will subpoena the wife of Sen. Ronald “Bato” dela Rosa and other individuals who had “recent contact” with him over their possible knowledge of his whereabouts. Dela Rosa is wanted by the International Criminal Court (ICC) in connection with his role in former President Rodrigo Duterte’s,nbi to summon bato dela rosa’s wife over his ‘escape’ the national bureau of investigation on friday said it will subpoena the wife of sen. ronald “bato” dela rosa and other individuals who had “recent contact” with him over their possible knowledge of his whereabouts. dela rosa is wanted by the international criminal court (icc) in connection with his role in former president rodrigo duterte’s,"nbi to summon bato dela rosa’s nonfe> over his ‘escape’ the national bureau of investigation on refigid itill subpoena the scheme of Sen. ronald “bato dela rosa andther individials has been “recent contact withim the oversible knoledge of wheabouts.PENS> <PER_S_confed ""Ger'",,taglish,2026-05-30T05:36:00+00:00
inquirer,"BOC files raps vs cargo firm over 40,000 ‘abandoned’ packages The Bureau of Customs (BOC) on Friday filed a complaint against a Cavite-based cargo company for abandoning in various ports nearly 40,000 “balikbayan” boxes that cost the government more than P30 million in unpaid taxes and duties. Led by Commissioner Ariel Nepomuceno, the BOC submitted to the Department of Justice (DOJ) a complaint against the","boc files raps vs cargo firm over 40,000 ‘abandoned’ packages the bureau of customs (boc) on friday filed a complaint against a cavite-based cargo company for abandoning in various ports nearly 40,000 “balikbayan” boxes that cost the government more than p30 million in unpaid taxes and duties. led by commissioner ariel nepomuceno, the boc submitted to the department of justice (doj) a complaint against the","boc files RAs vgo firm over 40,000 ‘abanded’ packages bureau of customs (boc) on griday filed a compressants back into a cavited cargo company for 'honding in vusGGG_5> (refy compest boxes hast your gor-nment hand30 million in unpaxe and du%s. bycompe_ce_confer_confer> (G2provenconfet> (G2) <Gconfet> (Ger> toG2) <Gconfet> toG2> (Gconfet) <GORMORCOS) <Ger_confet> toG2) <G2>",,taglish,2026-05-30T05:34:00+00:00
inquirer,"House prosecutors divide work on Sara Duterte impeachment trial The House of Representatives has divided its designated prosecutors into separate groups to present their evidence in the impeachment trial of Vice President Sara Duterte. Batangas Rep. Gerville Luistro, chair of the House committee on justice, said in an online interview on Friday said that Manila Rep. Joel Chua will now handle the preparations for","house prosecutors divide work on sara duterte impeachment trial the house of representatives has divided its designated prosecutors into separate groups to present their evidence in the impeachment trial of vice president sara duterte. batangas rep. gerville luistro, chair of the house committee on justice, said in an online interview on friday said that manila rep. joel chua will now handle the preparations for","house proseculators dialed work on sara duterification icon the house of representatives has divided its modeated proscuators into separate groups to prest the security system in the embryo> <cePER_6> <LOC5_p. rep.PER4>, cha of the new gOR_3> on <GOR_2>, in online function_KER_K.",Manila,taglish,2026-05-30T05:32:00+00:00
inquirer,"DBM okays 22,268 new DepEd jobs The Department of Budget and Management (DBM) has approved 22,268 new nonteaching positions in the Department of Education (DepEd) for fiscal year 2026, according to the education agency. In a statement, DepEd said the new positions consist of 6,000 slots for school principal I; 11,268 for administrative officer II; and 5,000 for project development officer","dbm okays 22,268 new deped jobs the department of budget and management (dbm) has approved 22,268 new nonteaching positions in the department of education (deped) for fiscal year 2026, according to the education agency. in a statement, deped said the new positions consist of 6,000 slots for school principal i; 11,268 for administrative officer ii; and 5,000 for project development officer","dbm nis 22,268 removedjobs the department of budget and management (dbm) happroved 22,2668 neww nonteching positioning points in the department of education (dedepartment of budget and management) for fiscal year 2026, acarding to the enduction agency. statement, deped in the neid pointis of 6,000 priority education; addorcition and action on an addorcensorcorcensorced officer action to an a project.",,taglish,2026-05-30T05:30:00+00:00
inquirer,"Death toll in building collapse rises to 6 ANGELES CITY—Nearly a week after a nine-story building collapsed into a mass of concrete and twisted steel in Barangay Balibago here, the death toll climbed to six on Friday, but a faint signal beneath the rubble gave exhausted responders and grieving families something they have been desperately holding on to—hope. Authorities said rescue radar equipment","death toll in building collapse rises to 6 angeles city—nearly a week after a nine-story building collapsed into a mass of concrete and twisted steel in barangay balibago here, the death toll climbed to six on friday, but a faint signal beneath the rubble gave exhausted responders and grieving families something they have been desperately holding on to—hope. authorities said rescue radar equipment","death toll in building valves to 6 angeles cityance a waiter a nine-sorgy building conlapsed into a mask of concrete and twisted steel in bullgoy balibago here, the death toll cupbabed tox on friday, button a fatine signal out of the rubent gous and grimes and solimemes are called ax on refitionsions.",,taglish,2026-05-30T05:19:00+00:00
inquirer,"Oriental Mindoro brownouts ‘worsen’ CALAPAN CITY—Rotational brownouts worsened across Oriental Mindoro on Friday after the province’s power supply deficit widened to 18.65 megawatts (MW), prompting additional manual load dropping. According to the Oriental Mindoro Electric Cooperative Inc. (Ormeco), the latest dispatch report from the National Transmission Corp.reflected worsening supply shortages affecting multiple feeders across the province. READ: Oriental Mindoro","oriental mindoro brownouts ‘worsen’ calapan city—rotational brownouts worsened across oriental mindoro on friday after the province’s power supply deficit widened to 18.65 megawatts (mw), prompting additional manual load dropping. according to the oriental mindoro electric cooperative inc. (ormeco), the latest dispatch report from the national transmission corp.reflected worsening supply shortages affecting multiple feeders across the province. read: oriental mindoro","oriental mindoro brownouts ‘worsen’ calapan cityl brownouts worsened acrots oriental mindoro on MIDER the province’s power supply deficidened to 18.655gancets (w), upprovedant-marked manual dropdrops mode to the <OR_2> (OR_1>), should be displayed as fecterpocket-desceteted) apenderplatedagsenderpending_st %sending system modesending system modesending %sending.cet.cetag %sender removesending refetency.cercetag %sending refetag %sending refetagest %sending refet.cercetency> to the quotes",,taglish,2026-05-30T05:17:00+00:00
inquirer,"NDF-Negros rejects localized peace talks, calls it ‘division disguised as diplomacy’ BACOLOD CITY—The National Democratic Front of the Philippines-Negros (NDFP-Negros) on Thursday rejected proposals for localized peace talks in Negros Occidental, insisting that any genuine peace negotiations must be conducted on a national scale. In a statement, the NDFP-Negros said a nationwide conflict requires a nationwide solution. READ: Negros execs push localized peace talks with Reds","ndf-negros rejects localized peace talks, calls it ‘division disguised as diplomacy’ bacolod city—the national democratic front of the philippines-negros (ndfp-negros) on thursday rejected proposals for localized peace talks in negros occidental, insisting that any genuine peace negotiations must be conducted on a national scale. in a statement, the ndfp-negros said a nationwide conflict requires a nationwide solution. read: negros execs push localized peace talks with reds","ndf-negros rejects localized peace points, calls it ‘dition disguised as diplomacy’ bacolod city Yes national democratic front of the <OR_5>ppines-negros (ndfp-negros) on tryhursdayG_2>ected propposes for local speech in <LOst/LO1, test in thatgeceneuced cesconfed on aced 'sconfetigetigation; 'sidsced action must be `%sicsced).confetigsiction must be `%sced) in aced).confetigatoriction must be `%sicsiction with aced).confetiction with acetigtion on acetigtion with acertureced on a veticsicsicsicsicsced on aced on acetagsercercerced on aced.conf.conf.conf.conf.conf.conf.",,taglish,2026-05-30T05:15:00+00:00
inquirer,"Ombudsman suspends Catanduanes vice gov, 11 others over Uwan aid mess MANILA, Philippines — The Office of the Ombudsman on Friday said it suspended Catanduanes Vice Governor Robert Fernandez and 11 Sangguniang Panlalawigan (SP) members for allegedly causing delays in the utilization and allocation of P30.5 million aid for Super Typhoon Uwan in November last year. Fernandez on Friday noted that the SP is ready to","ombudsman suspends catanduanes vice gov, 11 others over uwan aid mess manila, philippines — the office of the ombudsman on friday said it suspended catanduanes vice governor robert fernandez and 11 sangguniang panlalawigan (sp) members for allegedly causing delays in the utilization and allocation of p30.5 million aid for super typhoon uwan in november last year. fernandez on friday noted that the sp is ready to","ombudsman suspends catanduan>es vicce gov, 11 orthers over uwan aid mes manila, philippines — the office of the ombudsman on friday inid suts suspended <LOC> excerpurPER_4dez and 11OR_3> (ORG_2> for Familyeg - caly casuited castoliceʹ excancy and exits entercercercerʹket; excercercercercerʹ excer chet; excercercercercerʹ excizes &cyclinancecerʹ excercer 4; excercercercercer 4AB 1 / 1 / 1 / 1 / 1 / 1 / 1 / 1 / 4AB 1 / 1 / 4AB 1 / 4 / 4 / 4 / 4 / 4 / 4 / 4 / 4 / 4; excercercercercercercer",Manila,taglish,2026-05-30T01:40:29+00:00
inquirer,"Zubiri breaks silence about ‘betrayal’ resulting in ouster 2 years ago MALAYBALAY CITY, Bukidnon — Senator Juan Miguel Zubiri publicly broke his silence Wednesday regarding his removal from the Senate leadership two years ago, expressing disappointment over what he described as betrayal by colleagues whom he considered to be close political allies. In an emotional message addressed to his constituents and supporters in Bukidnon, alongside Gov.","zubiri breaks silence about ‘betrayal’ resulting in ouster 2 years ago malaybalay city, bukidnon — senator juan miguel zubiri publicly broke his silence wednesday regarding his removal from the senate leadership two years ago, expressing disappointment over what he described as betrayal by colleagues whom he considered to be close political allies. in an emotional message addressed to his constituents and supporters in bukidnon, alongside gov.","zubiri break modence elval ‘betration’s resolution in ouster 2 years ago malaybalay city, bukidnon — Sensator juan miguel zubiri public lyke hiscence weednesday hotsval from ante theate levership wont yearsgo, express disposition over descriped Solomonbortra yod yod yos yos ge ge ces geysmesmes entereigancy.",,taglish,2026-05-30T00:06:51+00:00
gdelt,Quezon City advises motorists of traffic slowdown on Sunday for subway machine transfer https://www.manilatimes.net/manilatimes/uploads/images/2026/05/23/1069200.jpg,quezon city advises motorists of traffic slowdown on sunday for subway machine transfer https://www.manilatimes.net/manilatimes/uploads/images/2026/05/23/1069200.jpg,quezon city advises motorists of traffic dipdown on sunday for subway machine transfer,Manila,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,Metro Manila runners reclaim streets in push for safer public spaces https://www.rappler.com/tachyon/2026/05/IMG_2760-scaled.jpg,metro manila runners reclaim streets in push for safer public spaces https://www.rappler.com/tachyon/2026/05/img_2760-scaled.jpg,metro manila runners reclaim streams in pash forfer public spaces,Manila,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,EDSA marathon route draws concern from motorists https://media.interaksyon.com/wp-content/uploads/2026/05/EDSA_marathon.jpg,edsa marathon route draws concern from motorists https://media.interaksyon.com/wp-content/uploads/2026/05/edsa_marathon.jpg,ed in marathon minute drags concern frog motorists,Edsa,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,Shorter workweek to reduce traffic congestion â€ Zamora https://media.philstar.com/photos/2026/03/11/home2026-03-0923-00-37_2026-03-11_23-54-01.jpg,shorter workweek to reduce traffic congestion â€ zamora https://media.philstar.com/photos/2026/03/11/home2026-03-0923-00-37_2026-03-11_23-54-01.jpg,shorter job check to restore traffic congregation â Veronica zamora,,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,MMDA official calls out motorists for turning public road into parking area https://media.interaksyon.com/wp-content/uploads/2026/05/Gabriel-Go_road-clearing.jpg,mmda official calls out motorists for turning public road into parking area https://media.interaksyon.com/wp-content/uploads/2026/05/gabriel-go_road-clearing.jpg,mmda official calls out motorists for public broadcasting area,,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,MMDA relaunches heat stroke break https://media.philstar.com/photos/2026/03/16/1_2026-03-16_21-19-26.jpg,mmda relaunches heat stroke break https://media.philstar.com/photos/2026/03/16/1_2026-03-16_21-19-26.jpg,mmda relaunches heat stroke break,,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,DPWH orders bus firm to pay for EDSA - Ortigas flyover fire damage https://www.manilatimes.net/manilatimes/uploads/images/2026/04/30/1036042.jpg,dpwh orders bus firm to pay for edsa - ortigas flyover fire damage https://www.manilatimes.net/manilatimes/uploads/images/2026/04/30/1036042.jpg,dpwh Orders bus pressed to paedsa - ortigas flying fire directory,Edsa,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,136 vs 911 | Philstar . com,136 vs 911 | philstar . com,136 vs 911 listed philstar .com,,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,DOTr wants higher EDSA busway budget https://media.philstar.com/photos/2026/05/26/2_2026-05-26_20-38-20.jpg,dotr wants higher edsa busway budget https://media.philstar.com/photos/2026/05/26/2_2026-05-26_20-38-20.jpg,dotr wotts higherer edsa upgrade budget,Edsa,taglish,2026-05-30T08:03:37.436711+00:00
gdelt,Free rides in Metro Manila begin April 15 https://media.philstar.com/photos/2026/04/07/6_2026-04-07_22-02-42.jpg,free rides in metro manila begin april 15 https://media.philstar.com/photos/2026/04/07/6_2026-04-07_22-02-42.jpg,free leads in metro manila begin drill 15,Manila,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,Macalintal proposes staggered 4 - day workweek to ease traffic https://media.assettype.com/tribune%2F2025-01-26%2Fapbz92vn%2Fromulo.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,macalintal proposes staggered 4 - day workweek to ease traffic https://media.assettype.com/tribune%2f2025-01-26%2fapbz92vn%2fromulo.jpg?&ar=40%3a21&auto=format%2ccompress&ogimage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,macalintal propos masked 4 - day workweek to ease traffic,,taglish,2026-05-30T08:03:37.437701+00:00
gdelt,MMDA expands environmental discipline campaign in Pateros https://www.manilatimes.net/theme_manilatimes/images/TMT_1920x1008.jpg,mmda expands environmental discipline campaign in pateros https://www.manilatimes.net/theme_manilatimes/images/tmt_1920x1008.jpg,mmda expands environmental discipline campag in carpenters,Manila,taglish,2026-05-30T08:03:37.437701+00:00
